timestamp,open,high,low,close,volume
2025-09-25 09:15:00+05:30,55061.65,55127.55,54993.55,55093.6,0
2025-09-25 09:20:00+05:30,55097.95,55215.2,55092.1,55212.8,0
2025-09-25 09:25:00+05:30,55213.35,55252.8,55208.15,55208.5,0
2025-09-25 09:30:00+05:30,55206.65,55250.05,55148.1,55188.4,0
2025-09-25 09:35:00+05:30,55189.05,55221.7,55113.05,55209.4,0
2025-09-25 09:40:00+05:30,55211.9,55236.4,55130.9,55130.9,0
2025-09-25 09:45:00+05:30,55118.8,55146.0,55076.75,55141.1,0
2025-09-25 09:50:00+05:30,55141.05,55192.45,55109.05,55171.4,0
2025-09-25 09:55:00+05:30,55170.0,55210.9,55158.2,55167.55,0
2025-09-25 10:00:00+05:30,55165.15,55190.5,55134.15,55138.4,0
2025-09-25 10:05:00+05:30,55142.2,55181.55,55110.75,55166.6,0
2025-09-25 10:10:00+05:30,55168.2,55192.2,55141.0,55153.05,0
2025-09-25 10:15:00+05:30,55153.0,55191.8,55142.8,55158.3,0
2025-09-25 10:20:00+05:30,55164.25,55185.45,55138.25,55163.9,0
2025-09-25 10:25:00+05:30,55166.15,55173.35,55135.15,55144.55,0
2025-09-25 10:30:00+05:30,55148.3,55174.0,55126.9,55143.25,0
2025-09-25 10:35:00+05:30,55142.3,55142.3,55085.5,55115.75,0
2025-09-25 10:40:00+05:30,55118.4,55137.85,55075.2,55095.05,0
2025-09-25 10:45:00+05:30,55095.3,55130.7,55082.25,55115.8,0
2025-09-25 10:50:00+05:30,55116.7,55143.4,55101.1,55136.55,0
2025-09-25 10:55:00+05:30,55137.75,55154.35,55080.3,55096.6,0
2025-09-25 11:00:00+05:30,55099.1,55121.05,55079.75,55091.2,0
2025-09-25 11:05:00+05:30,55092.9,55113.9,55071.6,55085.5,0
2025-09-25 11:10:00+05:30,55086.45,55147.25,55081.6,55136.4,0
2025-09-25 11:15:00+05:30,55136.95,55150.4,55107.15,55121.05,0
2025-09-25 11:20:00+05:30,55121.7,55182.7,55121.7,55164.4,0
2025-09-25 11:25:00+05:30,55166.6,55175.25,55122.75,55174.55,0
2025-09-25 11:30:00+05:30,55168.0,55190.65,55152.95,55167.05,0
2025-09-25 11:35:00+05:30,55169.05,55170.8,55141.6,55152.05,0
2025-09-25 11:40:00+05:30,55151.2,55155.45,55066.1,55079.9,0
2025-09-25 11:45:00+05:30,55077.05,55095.35,55063.0,55064.05,0
2025-09-25 11:50:00+05:30,55064.65,55068.8,55032.4,55051.15,0
2025-09-25 11:55:00+05:30,55052.4,55100.8,55049.4,55055.6,0
2025-09-25 12:00:00+05:30,55047.9,55082.85,55043.05,55074.3,0
2025-09-25 12:05:00+05:30,55075.0,55077.2,55020.2,55035.45,0
2025-09-25 12:10:00+05:30,55032.45,55079.9,55025.15,55069.55,0
2025-09-25 12:15:00+05:30,55066.25,55114.05,55055.1,55105.6,0
2025-09-25 12:20:00+05:30,55107.0,55139.9,55068.85,55087.4,0
2025-09-25 12:25:00+05:30,55087.0,55132.65,55077.05,55104.55,0
2025-09-25 12:30:00+05:30,55101.2,55130.05,55082.05,55107.9,0
2025-09-25 12:35:00+05:30,55107.25,55127.35,55089.8,55121.4,0
2025-09-25 12:40:00+05:30,55123.6,55143.15,55076.15,55088.0,0
2025-09-25 12:45:00+05:30,55088.1,55145.9,55086.45,55134.25,0
2025-09-25 12:50:00+05:30,55133.95,55158.45,55124.3,55146.1,0
2025-09-25 12:55:00+05:30,55145.4,55173.15,55128.75,55154.8,0
2025-09-25 13:00:00+05:30,55155.6,55195.75,55149.95,55192.1,0
2025-09-25 13:05:00+05:30,55195.15,55259.15,55186.85,55240.7,0
2025-09-25 13:10:00+05:30,55245.1,55276.65,55215.8,55216.9,0
2025-09-25 13:15:00+05:30,55221.0,55246.2,55174.2,55246.2,0
2025-09-25 13:20:00+05:30,55240.75,55256.2,55164.65,55182.45,0
2025-09-25 13:25:00+05:30,55181.15,55209.7,55161.35,55206.3,0
2025-09-25 13:30:00+05:30,55206.7,55254.0,55204.8,55217.4,0
2025-09-25 13:35:00+05:30,55218.4,55235.05,55185.05,55220.1,0
2025-09-25 13:40:00+05:30,55219.45,55235.35,55200.05,55223.4,0
2025-09-25 13:45:00+05:30,55222.9,55243.95,55216.55,55233.85,0
2025-09-25 13:50:00+05:30,55233.85,55235.65,55206.8,55214.8,0
2025-09-25 13:55:00+05:30,55220.95,55237.4,55179.85,55188.45,0
2025-09-25 14:00:00+05:30,55186.4,55204.1,55175.55,55186.85,0
2025-09-25 14:05:00+05:30,55185.85,55204.75,55161.65,55176.25,0
2025-09-25 14:10:00+05:30,55175.95,55193.05,55137.3,55192.15,0
2025-09-25 14:15:00+05:30,55186.6,55200.85,55159.45,55189.2,0
2025-09-25 14:20:00+05:30,55184.95,55197.05,55166.15,55168.75,0
2025-09-25 14:25:00+05:30,55169.0,55204.65,55151.85,55160.85,0
2025-09-25 14:30:00+05:30,55162.65,55180.95,55138.8,55143.5,0
2025-09-25 14:35:00+05:30,55141.55,55152.1,55093.35,55133.75,0
2025-09-25 14:40:00+05:30,55135.2,55142.7,55090.85,55126.15,0
2025-09-25 14:45:00+05:30,55124.25,55126.65,55078.65,55105.45,0
2025-09-25 14:50:00+05:30,55103.3,55110.6,55075.2,55106.65,0
